iter	Passed	Remaining
0	30	30736
1	45	22729
2	57	19199
3	73	18316
4	92	18316
5	113	18774
6	139	19741
7	153	19044
8	167	18473
9	183	18168
10	197	17771
11	212	17500
12	226	17170
13	240	16927
14	254	16721
15	268	16536
16	282	16327
17	297	16222
18	310	16028
19	327	16041
20	348	16235
21	369	16422
22	386	16412
23	400	16285
24	413	16142
25	431	16148
26	447	16110
27	460	15986
28	473	15857
29	488	15806
30	503	15749
31	517	15661
32	530	15557
33	546	15536
34	560	15451
35	576	15441
36	592	15408
37	605	15341
38	621	15316
39	636	15275
40	649	15191
41	662	15117
42	681	15157
43	699	15203
44	712	15116
45	733	15213
46	749	15188
47	763	15144
48	778	15116
49	792	15065
50	807	15033
51	822	14991
52	842	15048
53	859	15057
54	876	15061
55	892	15045
56	905	14987
57	918	14911
58	930	14848
59	946	14832
60	964	14846
61	985	14906
62	1008	15001
63	1024	14988
64	1038	14933
65	1051	14876
66	1067	14869
67	1085	14883
68	1099	14833
69	1113	14799
70	1127	14747
71	1148	14802
72	1174	14918
73	1194	14948
74	1213	14970
75	1234	15013
76	1255	15050
77	1276	15091
78	1299	15144
79	1321	15194
80	1343	15247
81	1367	15313
82	1395	15422
83	1421	15502
84	1447	15586
85	1470	15624
86	1488	15620
87	1501	15564
88	1514	15499
89	1530	15475
90	1544	15431
91	1557	15371
92	1571	15325
93	1587	15302
94	1601	15254
95	1614	15201
96	1629	15170
97	1644	15135
98	1656	15072
99	1667	15010
100	1687	15020
101	1702	14985
102	1714	14932
103	1730	14907
104	1747	14892
105	1771	14937
106	1791	14949
107	1803	14898
108	1816	14847
109	1830	14813
110	1843	14760
111	1855	14714
112	1868	14665
113	1883	14637
114	1896	14591
115	1911	14568
116	1923	14513
117	1936	14471
118	1951	14445
119	1963	14399
120	1977	14368
121	1994	14356
122	2008	14323
123	2022	14288
124	2048	14338
125	2063	14311
126	2076	14276
127	2091	14251
128	2105	14218
129	2120	14189
130	2133	14149
131	2146	14115
132	2159	14077
133	2172	14040
134	2186	14008
135	2200	13978
136	2213	13941
137	2227	13916
138	2241	13883
139	2253	13842
140	2269	13826
141	2284	13803
142	2299	13782
143	2314	13758
144	2329	13737
145	2343	13706
146	2356	13675
147	2370	13647
148	2386	13629
149	2400	13602
150	2415	13582
151	2428	13547
152	2440	13512
153	2452	13474
154	2466	13448
155	2481	13425
156	2495	13402
157	2511	13384
158	2528	13372
159	2545	13366
160	2565	13371
161	2588	13391
162	2603	13370
163	2620	13356
164	2635	13338
165	2648	13307
166	2661	13273
167	2676	13253
168	2690	13230
169	2704	13203
170	2717	13174
171	2732	13155
172	2746	13128
173	2757	13091
174	2769	13056
175	2781	13023
176	2799	13019
177	2815	12999
178	2832	12991
179	2846	12965
180	2859	12936
181	2871	12906
182	2886	12884
183	2903	12875
184	2915	12843
185	2927	12812
186	2941	12790
187	2953	12758
188	2966	12729
189	2979	12701
190	3006	12733
