iter	MultiRMSE
0	15.32906856
1	14.94496127
2	14.56762726
3	14.20719136
4	13.85782566
5	13.52130202
6	13.18010634
7	12.85692482
8	12.54949583
9	12.25383163
10	11.9715962
11	11.67447265
12	11.41086481
13	11.13568175
14	10.86192085
15	10.60023287
16	10.35434481
17	10.12965365
18	9.901304107
19	9.684938705
20	9.46606543
21	9.262734175
22	9.066949526
23	8.867437021
24	8.672931223
25	8.48039281
26	8.294123368
27	8.123530507
28	7.954491319
29	7.799964988
30	7.639517941
31	7.481237518
32	7.328048341
33	7.190193758
34	7.053614904
35	6.914458774
36	6.781709297
37	6.658254581
38	6.535957463
39	6.417117221
40	6.303123132
41	6.187356788
42	6.079000862
43	5.975181015
44	5.867942074
45	5.779271472
46	5.66897476
47	5.58371054
48	5.491209357
49	5.389482881
50	5.310453182
51	5.216550564
52	5.130853748
53	5.039629499
54	4.966643519
55	4.884564154
56	4.817254324
57	4.738138378
58	4.675614377
59	4.609087391
60	4.54759019
61	4.479199113
62	4.414311073
63	4.343524069
64	4.282949697
65	4.230322895
66	4.170388935
67	4.108989912
68	4.04424074
69	3.995168218
70	3.937558948
71	3.888812574
72	3.840117849
73	3.783169828
74	3.737368557
75	3.682556381
76	3.63559986
77	3.592956231
78	3.547982556
79	3.502660933
80	3.4561308
81	3.415051054
82	3.368223235
83	3.336488064
84	3.303199843
85	3.265173949
86	3.235476528
87	3.202792601
88	3.173909509
89	3.139233037
90	3.103455109
91	3.066946207
92	3.044209431
93	3.013092171
94	2.983507581
95	2.952877728
96	2.931430917
97	2.904425163
98	2.877331949
99	2.852314848
100	2.833771605
101	2.800189259
102	2.780217116
103	2.746574497
104	2.719792961
105	2.690090244
106	2.673672319
107	2.647887134
108	2.624318035
109	2.599928617
110	2.57666402
111	2.556825769
112	2.534651369
113	2.514995058
114	2.496064904
115	2.475793329
116	2.458813947
117	2.439233055
118	2.414521275
119	2.399631907
120	2.380998731
121	2.359181785
122	2.345704362
123	2.330548546
124	2.306196905
125	2.289175073
126	2.275422029
127	2.254974887
128	2.238211427
129	2.221540314
130	2.20148721
131	2.185538709
132	2.175092098
133	2.16010506
134	2.151608544
135	2.139233617
136	2.125224896
137	2.108838542
138	2.095469382
139	2.080979088
140	2.063208076
141	2.051237545
142	2.040251436
143	2.030867221
144	2.012288745
145	1.997007692
146	1.985860201
147	1.974496977
148	1.966756238
149	1.954202733
150	1.947965382
151	1.925481444
152	1.909854078
153	1.902922522
154	1.888519592
155	1.870972247
156	1.862461591
157	1.851279958
158	1.840153994
159	1.825790267
160	1.812689497
161	1.799392995
162	1.784434774
163	1.776043962
164	1.760640992
165	1.751516326
166	1.743779497
167	1.72866742
168	1.713287482
169	1.705697438
170	1.699028385
171	1.684332676
172	1.679687707
173	1.666952958
174	1.652833114
175	1.645164742
176	1.629478578
177	1.615251248
178	1.608565907
179	1.601266109
180	1.58960476
181	1.577576542
182	1.573682765
183	1.562583707
184	1.553559959
185	1.542147747
186	1.531189579
187	1.522667201
188	1.51483575
189	1.505285156
190	1.499930521
191	1.489829865
192	1.4846848
193	1.473165415
194	1.462904964
195	1.453023801
196	1.44648357
197	1.438245985
198	1.43351836
199	1.430059872
200	1.420963873
201	1.413724842
202	1.406297328
203	1.39591799
204	1.387141826
205	1.376953397
206	1.367367412
207	1.360048061
208	1.354453923
209	1.349508152
210	1.345204038
211	1.335431238
212	1.330410106
213	1.323041599
214	1.316983646
215	1.311259145
216	1.307108763
217	1.298398815
218	1.292746854
219	1.289116922
220	1.28479746
221	1.277764325
222	1.271316462
223	1.2625119
224	1.252587997
225	1.247099444
226	1.243630074
227	1.238585756
228	1.230141565
229	1.225401594
230	1.215494172
231	1.20683407
232	1.198263995
233	1.192371052
234	1.183960092
235	1.179210215
236	1.172246689
237	1.167647349
238	1.162009548
239	1.157871258
240	1.154492205
241	1.150779162
242	1.145413606
243	1.140332437
244	1.135123146
245	1.12716385
246	1.119290973
247	1.111132856
248	1.106665626
249	1.100253753
250	1.095110014
251	1.09055283
252	1.085228424
253	1.079300118
254	1.073639026
255	1.069746853
256	1.065544298
257	1.0616198
258	1.058385981
259	1.053258768
260	1.048967557
261	1.045506139
262	1.04017465
263	1.032032764
264	1.026511572
265	1.020366092
266	1.017269535
267	1.012601462
268	1.009689801
269	1.005534158
270	1.001299043
271	0.9969977208
272	0.9908444233
273	0.9852636211
274	0.9796580883
275	0.9763308127
276	0.9710020288
277	0.9678085284
278	0.9644311374
279	0.9615702538
280	0.9584404217
281	0.953510872
282	0.948725595
283	0.9450950123
284	0.9403790792
285	0.9354320939
286	0.9310118096
287	0.9265557135
288	0.923285779
289	0.9188871681
290	0.9152772444
291	0.9104239001
292	0.9064117251
293	0.9029154222
294	0.8991386934
295	0.8945160595
296	0.891822108
297	0.886200969
298	0.8815831416
299	0.8780121796
300	0.8734931429
301	0.8702474826
302	0.8658159001
303	0.8624373596
304	0.8605693204
305	0.8585591126
306	0.8550865345
307	0.8512751033
308	0.8488333694
309	0.8438364162
310	0.8421316157
311	0.8398311662
312	0.8370472965
313	0.8339238732
314	0.8301195278
315	0.8261034727
316	0.8228010272
317	0.8204898467
318	0.8177435321
319	0.8131476648
320	0.809255501
321	0.805343998
322	0.8019251349
323	0.7987064676
324	0.7947083352
325	0.7916690929
326	0.788682312
327	0.7856662528
328	0.7835376789
329	0.7821630423
330	0.7795587388
331	0.7773125634
332	0.7747977267
333	0.7714702144
334	0.7690865047
335	0.7659810181
336	0.7627579564
337	0.7608979752
338	0.7572456107
339	0.7539755933
340	0.7511536768
341	0.7493098187
342	0.7471236294
343	0.7438236763
344	0.7407760022
345	0.7377985465
346	0.7353845487
347	0.7327835777
348	0.7293956036
349	0.7262230773
350	0.7236060894
351	0.7208434122
352	0.7189052217
353	0.714320436
354	0.7125887699
355	0.7102838588
356	0.7086448026
357	0.704095559
358	0.7018928661
359	0.6990544209
360	0.6965615436
361	0.694575999
362	0.6921505908
363	0.6903245641
364	0.6880723635
365	0.6852279621
366	0.6831432821
367	0.6792426779
368	0.6766247936
369	0.6747451753
370	0.672804746
371	0.6703486332
372	0.6686123624
373	0.6656166633
374	0.6641224807
375	0.6622909892
376	0.6606008402
377	0.6588084808
378	0.6568849353
379	0.6546574298
380	0.6527540388
381	0.6509053733
382	0.6483766756
383	0.645844336
384	0.6421750704
385	0.6410471832
386	0.6389258936
387	0.6364199084
388	0.6343362969
389	0.6314569797
390	0.6300013955
391	0.6280074963
392	0.6264646647
393	0.6249095065
394	0.622531586
395	0.6206699628
396	0.6188566524
397	0.6167481264
398	0.615879883
399	0.614320603
400	0.613392837
401	0.610757234
402	0.6091605703
403	0.6071799682
404	0.6057998569
