iter	Passed	Remaining
0	17	17153
1	28	14397
2	40	13392
3	52	12984
4	64	12835
5	74	12309
6	83	11804
7	94	11686
8	105	11573
9	115	11408
10	125	11267
11	135	11127
12	144	10982
13	156	11012
14	165	10846
15	175	10763
16	187	10838
17	197	10797
18	206	10663
19	215	10559
20	228	10671
21	241	10750
22	256	10875
23	268	10898
24	276	10777
25	285	10701
26	298	10743
27	307	10662
28	315	10572
29	327	10577
30	338	10583
31	351	10633
32	361	10604
33	373	10608
34	383	10583
35	397	10639
36	406	10572
37	416	10552
38	427	10538
39	437	10503
40	446	10432
41	456	10412
42	467	10405
43	477	10382
44	495	10522
45	509	10568
46	521	10582
47	533	10589
48	542	10528
49	553	10520
50	564	10504
51	576	10509
52	589	10529
53	603	10572
54	617	10603
55	631	10647
56	641	10607
57	652	10591
58	663	10576
59	673	10546
60	683	10514
61	694	10509
62	703	10456
63	712	10423
64	722	10391
65	731	10350
66	744	10367
67	758	10394
68	771	10407
69	784	10418
70	797	10431
71	809	10437
72	821	10426
73	832	10419
74	842	10394
75	853	10374
76	865	10372
77	876	10362
78	886	10331
79	895	10296
80	907	10294
81	918	10279
82	928	10254
83	938	10234
84	948	10213
85	962	10233
86	975	10238
87	990	10264
88	1005	10294
89	1016	10279
90	1026	10255
91	1037	10239
92	1046	10210
93	1055	10170
94	1066	10156
95	1077	10149
96	1088	10135
97	1098	10114
98	1110	10104
99	1121	10090
100	1130	10063
101	1141	10050
102	1151	10026
103	1163	10021
104	1173	10003
105	1184	9986
106	1193	9960
107	1217	10056
108	1232	10071
109	1246	10084
110	1261	10104
111	1274	10108
112	1286	10097
113	1297	10084
114	1309	10075
115	1319	10052
116	1329	10031
117	1341	10030
118	1351	10003
119	1360	9978
120	1370	9955
121	1379	9930
122	1388	9901
123	1396	9868
124	1408	9862
125	1418	9839
126	1428	9818
127	1439	9803
128	1450	9791
129	1460	9775
130	1474	9781
131	1491	9806
132	1509	9838
133	1526	9863
134	1541	9874
135	1554	9877
136	1566	9870
137	1579	9865
138	1591	9855
139	1601	9836
140	1612	9820
141	1625	9823
142	1637	9815
143	1649	9805
144	1660	9791
145	1670	9768
146	1681	9755
147	1689	9726
148	1699	9704
149	1709	9688
150	1722	9682
151	1735	9680
152	1748	9678
153	1757	9656
154	1768	9641
155	1778	9624
156	1788	9601
157	1797	9577
158	1806	9555
159	1817	9541
160	1826	9518
161	1835	9494
162	1847	9487
163	1857	9466
164	1867	9448
165	1876	9429
166	1887	9414
167	1899	9406
168	1909	9388
169	1920	9374
170	1928	9349
171	1938	9333
172	1950	9324
173	1962	9315
174	1972	9298
175	1988	9311
176	2002	9311
177	2016	9313
178	2031	9318
179	2045	9316
180	2058	9312
181	2072	9315
182	2084	9305
183	2099	9312
184	2114	9314
185	2130	9322
186	2142	9316
187	2154	9306
188	2166	9298
189	2178	9286
190	2188	9270
191	2197	9249
192	2212	9250
193	2225	9244
194	2238	9242
195	2251	9236
196	2261	9217
197	2270	9198
198	2280	9177
199	2290	9163
200	2300	9145
201	2310	9126
202	2320	9109
203	2330	9091
204	2339	9071
205	2349	9057
206	2358	9036
207	2367	9016
208	2379	9004
209	2389	8989
210	2398	8970
