iter	MultiRMSE
0	15.32926324
1	14.94113979
2	14.56784883
3	14.20363402
4	13.856457
5	13.50371955
6	13.17412876
7	12.8586613
8	12.54485506
9	12.24207409
10	11.95674717
11	11.6636389
12	11.38563052
13	11.12551217
14	10.85992725
15	10.59991004
16	10.35105957
17	10.12147245
18	9.891159217
19	9.668021042
20	9.440275944
21	9.22372795
22	9.026744814
23	8.832968329
24	8.648440821
25	8.466426309
26	8.282609066
27	8.111697511
28	7.945976286
29	7.784369821
30	7.620313491
31	7.479885904
32	7.322534085
33	7.177054821
34	7.027872152
35	6.8979032
36	6.768489618
37	6.631793243
38	6.512585644
39	6.374636329
40	6.258667129
41	6.135506421
42	6.025171906
43	5.90907259
44	5.795676557
45	5.688975669
46	5.578620602
47	5.477607325
48	5.380607768
49	5.294734435
50	5.204119246
51	5.131074369
52	5.050727924
53	4.964061626
54	4.872265944
55	4.791573923
56	4.715780354
57	4.648942864
58	4.578813769
59	4.51218214
60	4.450145845
61	4.387015784
62	4.324716844
63	4.262712889
64	4.209402389
65	4.141097171
66	4.092314824
67	4.034314399
68	3.984418826
69	3.928242916
70	3.872852326
71	3.818998668
72	3.771007671
73	3.724771893
74	3.681369633
75	3.636586701
76	3.591264172
77	3.551896833
78	3.521193641
79	3.490347203
80	3.445205511
81	3.410982937
82	3.361892877
83	3.319149914
84	3.281094638
85	3.24475398
86	3.213276123
87	3.18492048
88	3.147271947
89	3.12200148
90	3.089846759
91	3.06386023
92	3.028883968
93	2.995365707
94	2.969856066
95	2.939564843
96	2.911733668
97	2.88840472
98	2.86647951
99	2.836616094
100	2.815818734
101	2.792838526
102	2.767935597
103	2.745725112
104	2.724222185
105	2.703053011
106	2.682357729
107	2.662920461
108	2.635467152
109	2.613412719
110	2.583113552
111	2.554440992
112	2.534435019
113	2.507014951
114	2.493237123
115	2.47337905
116	2.453370918
117	2.434218774
118	2.411181289
119	2.390792618
120	2.369551769
121	2.353443769
122	2.335961471
123	2.325589069
124	2.307593538
125	2.285638363
126	2.267418411
127	2.249773338
128	2.229058313
129	2.212067686
130	2.192314792
131	2.179796398
132	2.160261094
133	2.144801581
134	2.132968118
135	2.108226475
136	2.098129426
137	2.080505414
138	2.067306083
139	2.048543573
140	2.039917828
141	2.019538306
142	2.011281357
143	1.998468843
144	1.987133629
145	1.975295221
146	1.965126684
147	1.949898677
148	1.931584772
149	1.920505602
150	1.907576391
151	1.887743095
152	1.880916638
153	1.866443353
154	1.853144948
155	1.841219354
156	1.825440838
157	1.811635851
158	1.804036494
159	1.791066125
160	1.77454208
161	1.763995151
162	1.757363472
163	1.743974982
164	1.732825017
165	1.72232215
166	1.711954096
167	1.700706429
168	1.694088909
169	1.685461216
170	1.674708287
171	1.661211379
172	1.648728064
173	1.641998276
174	1.633779664
175	1.623439001
