iter	Passed	Remaining
0	24	24413
1	37	18519
2	49	16447
3	61	15299
4	74	14801
5	87	14532
6	100	14217
7	109	13544
8	119	13158
9	128	12701
10	137	12382
11	147	12149
12	157	11930
13	167	11775
14	179	11805
15	190	11689
16	200	11589
17	212	11578
18	222	11488
19	232	11394
20	244	11418
21	254	11330
22	266	11329
23	279	11369
24	289	11307
25	304	11418
26	316	11399
27	329	11422
28	344	11527
29	356	11524
30	368	11531
31	381	11549
32	392	11491
33	402	11440
34	416	11492
35	426	11431
36	440	11459
37	451	11428
38	460	11356
39	472	11337
40	482	11296
41	494	11273
42	507	11287
43	519	11295
44	532	11302
45	548	11372
46	561	11390
47	575	11421
48	593	11520
49	607	11547
50	622	11579
51	636	11605
52	650	11624
53	665	11652
54	678	11652
55	692	11669
56	703	11643
57	715	11617
58	725	11569
59	734	11514
60	745	11479
61	754	11421
62	765	11385
63	776	11355
64	786	11315
65	796	11276
66	807	11247
67	820	11241
68	834	11254
69	845	11233
70	855	11197
71	867	11176
72	877	11143
73	889	11128
74	900	11103
75	911	11083
76	922	11059
77	932	11026
78	944	11009
79	955	10992
80	966	10965
81	976	10932
82	987	10908
83	998	10885
84	1010	10872
85	1020	10850
86	1032	10833
87	1044	10825
88	1060	10859
89	1078	10901
90	1090	10896
91	1102	10879
92	1115	10875
93	1125	10848
94	1137	10840
95	1152	10849
96	1162	10822
97	1171	10785
98	1182	10761
99	1192	10734
100	1215	10818
101	1230	10831
102	1243	10828
103	1256	10827
104	1268	10808
105	1279	10790
106	1291	10779
107	1303	10762
108	1317	10770
109	1331	10774
110	1345	10776
111	1357	10763
112	1369	10747
113	1382	10747
114	1394	10734
115	1407	10724
116	1418	10704
117	1428	10680
118	1439	10660
119	1450	10637
120	1462	10624
121	1473	10601
122	1482	10572
123	1494	10556
124	1503	10526
125	1514	10508
126	1525	10488
127	1536	10466
128	1552	10482
129	1566	10483
130	1579	10476
131	1590	10457
132	1601	10438
133	1612	10418
134	1624	10406
135	1635	10387
136	1648	10384
137	1661	10378
