iter	MultiRMSE
0	15.31915211
1	14.92487737
2	14.55640245
3	14.19067756
4	13.84181045
5	13.49279936
6	13.15417065
7	12.82617968
8	12.51648659
9	12.21303351
10	11.91427941
11	11.63600087
12	11.35568348
13	11.09510109
14	10.83991269
15	10.58917196
16	10.35753231
17	10.12729968
18	9.911558912
19	9.70333166
20	9.490801695
21	9.278731239
22	9.079488017
23	8.879757398
24	8.697122164
25	8.511152299
26	8.342562313
27	8.168701906
28	7.993479881
29	7.835576662
30	7.668125979
31	7.510250031
32	7.357798861
33	7.220296585
34	7.077776025
35	6.93384352
36	6.800225953
37	6.674238019
38	6.554011108
39	6.431559471
40	6.319568215
41	6.197637128
42	6.088014809
43	5.981788692
44	5.887306297
45	5.790219041
46	5.687315838
47	5.599217197
48	5.50265994
49	5.411357972
50	5.322690282
51	5.232267517
52	5.158315474
53	5.071208439
54	4.98263627
55	4.897926256
56	4.824791634
57	4.741770629
58	4.680473766
59	4.619149809
60	4.558985852
61	4.492117488
62	4.431933988
63	4.362712902
64	4.303709785
65	4.24598149
66	4.202325654
67	4.158270742
68	4.110854919
69	4.053386579
70	4.002062243
71	3.957021502
72	3.905609226
73	3.854022242
74	3.809980561
75	3.768662747
76	3.725688499
77	3.677671618
78	3.628194872
79	3.58560138
80	3.551286822
81	3.509765037
82	3.470571691
83	3.427230875
84	3.383855648
85	3.342253008
86	3.309756251
87	3.273783738
88	3.238349533
89	3.196427806
90	3.168624474
91	3.136593513
92	3.114329972
93	3.084296256
94	3.053180737
95	3.023650681
96	3.000765467
97	2.969309964
98	2.939564762
99	2.918732965
100	2.889112492
101	2.86382674
102	2.837698623
103	2.817282587
104	2.79853144
105	2.771348335
106	2.747692565
107	2.719684503
108	2.700316998
109	2.676107949
110	2.649003853
111	2.62325343
112	2.606199898
113	2.581418664
114	2.562044209
115	2.536867364
116	2.52003465
117	2.505610387
118	2.487434922
119	2.467857777
120	2.44745406
121	2.425423238
122	2.407163514
123	2.380978061
124	2.363067031
125	2.352867197
126	2.33802955
127	2.320424942
128	2.300485465
129	2.278422238
130	2.265028488
131	2.244799899
132	2.230666863
133	2.218712426
134	2.209220242
135	2.183993542
136	2.16355722
137	2.145784331
138	2.131358762
139	2.116566894
140	2.100832191
141	2.086034935
142	2.079076217
143	2.067094099
144	2.050740745
145	2.03533487
146	2.022288677
147	2.009983149
148	1.99639979
149	1.98509767
150	1.975977196
151	1.964471881
152	1.953977324
153	1.938495755
154	1.929758138
155	1.914638725
156	1.901037225
157	1.889344128
158	1.884042944
159	1.876434796
160	1.862839138
161	1.848170291
162	1.83228898
163	1.824830544
164	1.815232173
165	1.809107069
166	1.802202004
167	1.794933408
168	1.783717872
169	1.762791285
170	1.74974725
171	1.733306334
172	1.724531732
173	1.713790398
174	1.703952239
175	1.691486688
176	1.679008221
177	1.671486527
178	1.658373117
179	1.650126627
180	1.641041076
181	1.629179655
182	1.617214185
183	1.611033442
184	1.602555803
185	1.595288109
186	1.58313206
187	1.576874678
188	1.570028835
189	1.55595056
190	1.54845669
191	1.537802737
192	1.525707973
193	1.520649412
194	1.512189935
195	1.500075829
196	1.491154471
197	1.4841839
198	1.47443051
199	1.470502258
200	1.457396715
201	1.450448056
202	1.437845129
203	1.431465592
204	1.42489892
205	1.414631938
206	1.407635497
207	1.400980214
208	1.392553662
209	1.384441311
210	1.377931509
211	1.369241937
212	1.361070363
213	1.356605673
214	1.348088031
215	1.340265968
216	1.331187666
217	1.32077022
218	1.306937747
219	1.298816011
220	1.295730119
221	1.291293097
222	1.283656848
223	1.277357437
224	1.271200717
225	1.263471336
226	1.25449464
227	1.247158645
228	1.241105151
229	1.238479017
230	1.231044198
231	1.225638834
232	1.221050798
233	1.217298524
234	1.211151272
235	1.204825228
236	1.199215317
237	1.195435911
238	1.193119868
239	1.185440894
240	1.178430609
241	1.175531382
242	1.170158959
243	1.164299806
244	1.157342384
245	1.150567481
246	1.143548126
247	1.136465973
248	1.133653713
249	1.12549466
250	1.119839749
251	1.115093138
252	1.109129764
253	1.102149272
254	1.098447478
255	1.09475308
256	1.08728734
257	1.082851492
258	1.077324209
259	1.073917482
260	1.07144526
261	1.067390793
262	1.062676044
263	1.058766062
264	1.056156843
265	1.051676547
266	1.047641893
267	1.042550542
268	1.037343599
269	1.035863884
270	1.030138757
271	1.027374218
272	1.024615451
273	1.020616636
274	1.015337231
275	1.011655637
276	1.009060968
277	1.003811047
278	0.9978236912
279	0.9930566479
280	0.9872857798
281	0.9849293463
282	0.9830526751
283	0.9791244601
284	0.9747223292
285	0.971303404
286	0.9664280112
287	0.9606993341
288	0.9561599741
289	0.9509252073
290	0.9468770229
291	0.942524321
292	0.9374250749
293	0.9344002669
294	0.9317194614
295	0.9278498489
296	0.9245356834
297	0.9178529311
298	0.9130473267
299	0.9101981213
300	0.9079204878
301	0.9037291512
