iter	Passed	Remaining
0	24	24792
1	35	17475
2	44	14922
3	55	13717
4	63	12616
5	71	11901
6	84	12027
7	98	12170
8	109	12111
9	118	11698
10	126	11365
11	135	11121
12	143	10917
13	152	10731
14	160	10543
15	168	10340
16	176	10199
17	186	10200
18	194	10031
19	202	9932
20	213	9933
21	223	9927
22	231	9852
23	242	9860
24	251	9818
25	261	9803
26	269	9715
27	277	9648
28	288	9673
29	300	9707
30	311	9735
31	324	9826
32	336	9846
33	350	9955
34	362	9989
35	372	9968
36	380	9895
37	389	9850
38	400	9858
39	407	9787
40	416	9736
41	426	9737
42	435	9690
43	443	9631
44	451	9584
45	461	9577
46	470	9546
47	478	9487
48	487	9452
49	496	9425
50	505	9397
51	513	9362
52	522	9336
53	532	9326
54	541	9296
55	549	9268
56	560	9270
57	573	9307
58	589	9404
59	602	9436
60	614	9455
61	623	9431
62	635	9447
63	643	9416
64	652	9393
65	662	9379
66	673	9377
67	686	9408
68	698	9424
69	709	9424
70	720	9427
71	732	9441
72	744	9455
73	754	9436
74	767	9468
75	778	9459
76	788	9446
77	799	9451
78	811	9458
79	824	9477
80	837	9501
81	851	9529
82	862	9533
83	872	9518
84	882	9504
85	891	9475
86	900	9452
87	909	9427
88	918	9405
89	931	9417
90	942	9418
91	955	9430
92	968	9442
93	982	9466
94	996	9495
95	1011	9524
96	1027	9568
97	1046	9628
98	1066	9702
99	1082	9744
100	1101	9802
101	1116	9833
102	1134	9876
103	1158	9982
104	1191	10152
105	1228	10360
106	1256	10488
107	1273	10521
108	1291	10555
109	1308	10583
110	1325	10617
111	1342	10644
112	1358	10659
113	1373	10677
114	1387	10676
115	1402	10684
116	1416	10691
117	1435	10729
118	1455	10774
119	1468	10768
120	1483	10778
121	1497	10774
122	1506	10738
123	1515	10702
124	1524	10673
125	1532	10631
126	1542	10600
127	1553	10583
128	1564	10563
129	1574	10540
130	1589	10546
131	1603	10542
132	1611	10506
133	1621	10480
134	1630	10447
135	1640	10419
136	1650	10398
137	1659	10363
138	1667	10330
139	1677	10306
140	1687	10281
141	1699	10269
142	1713	10271
143	1726	10263
