iter	MultiRMSE
0	15.32544635
1	14.93495443
2	14.56123561
3	14.1943422
4	13.8366298
5	13.49702511
6	13.16197408
7	12.84362799
8	12.53321838
9	12.23688018
10	11.95662672
11	11.67024073
12	11.38973943
13	11.1153002
14	10.85940911
15	10.60888355
16	10.36381052
17	10.12923324
18	9.888168979
19	9.669262636
20	9.45904601
21	9.243385893
22	9.040898428
23	8.849946033
24	8.659113951
25	8.475091763
26	8.2988006
27	8.114150714
28	7.943499479
29	7.78091731
30	7.613693477
31	7.467625771
32	7.322955868
33	7.176355409
34	7.026761604
35	6.896417401
36	6.763240782
37	6.622970223
38	6.492676923
39	6.37117644
40	6.256377557
41	6.142358277
42	6.027037573
43	5.914567658
44	5.805594125
45	5.715123219
46	5.614742006
47	5.507423378
48	5.418669591
49	5.322411226
50	5.230676222
51	5.140996313
52	5.050414225
53	4.969200263
54	4.893048689
55	4.825304422
56	4.753706552
57	4.684738579
58	4.620558302
59	4.544909337
60	4.479566547
61	4.422965807
62	4.352925717
63	4.287775604
64	4.225155767
65	4.168077274
66	4.117697343
67	4.058167329
68	4.010614129
69	3.956373512
70	3.899857513
71	3.852734067
72	3.805275538
73	3.754655176
74	3.699712535
75	3.651664629
76	3.607940438
77	3.566829552
78	3.524835862
79	3.485744791
80	3.441717194
81	3.407517648
82	3.360033491
83	3.331620162
84	3.30220437
85	3.271072651
86	3.225032457
87	3.196018237
88	3.171187922
89	3.139999784
90	3.098960718
91	3.06815635
92	3.038954743
93	3.013752818
94	2.979367522
95	2.949922389
96	2.921891268
97	2.895766275
98	2.869459624
99	2.846412983
100	2.825018358
101	2.803490461
102	2.774936546
103	2.75091607
104	2.728896441
105	2.703974542
106	2.67870225
107	2.648134738
108	2.622322097
109	2.605877435
110	2.579570795
111	2.551865013
112	2.527689483
113	2.504219533
114	2.482204322
115	2.460024663
116	2.442499905
117	2.42365391
118	2.410280812
119	2.392812598
120	2.371885094
121	2.358725037
122	2.343417955
123	2.321686306
124	2.309244622
125	2.291663499
126	2.279514979
127	2.265656686
128	2.249392084
129	2.224818248
130	2.211356205
131	2.193537547
132	2.175268683
133	2.157981081
134	2.143549459
135	2.124422024
136	2.1096682
137	2.092063718
138	2.071747773
139	2.061376788
140	2.049378843
141	2.03632701
142	2.024161176
143	2.014039455
144	2.00305193
145	1.99729225
146	1.986610273
147	1.975622671
148	1.959996443
149	1.950358812
150	1.940190045
151	1.924937078
152	1.906615878
153	1.887413217
154	1.872981435
155	1.866365398
156	1.84643205
157	1.837567964
158	1.824263829
159	1.812948068
160	1.800533433
161	1.787200213
162	1.77727805
163	1.761317679
164	1.753078999
165	1.745355162
166	1.731290893
167	1.715655442
168	1.703711314
169	1.691901345
170	1.677958546
171	1.670125346
172	1.660594923
173	1.653852933
174	1.646012287
175	1.635543146
176	1.629473619
177	1.62086533
178	1.610021455
179	1.595359707
180	1.58098047
181	1.570061609
182	1.56024705
183	1.552738774
184	1.546108909
185	1.538248966
186	1.526879433
187	1.514824269
188	1.503428755
189	1.492778033
190	1.487344956
191	1.480938427
192	1.46612269
193	1.46118834
194	1.454782391
195	1.445793953
196	1.438815609
197	1.42939161
198	1.42503857
199	1.415268941
200	1.403571585
201	1.397005955
202	1.391984957
203	1.383718732
204	1.373766059
205	1.364031045
206	1.359564113
207	1.351786029
208	1.346778188
209	1.340697748
210	1.336278956
211	1.330380023
212	1.325813649
213	1.321211046
214	1.313326657
215	1.307671581
216	1.301997728
217	1.296350926
218	1.286526306
219	1.280236442
220	1.275233846
221	1.267340657
222	1.262868372
223	1.258958859
224	1.251958384
225	1.244497651
226	1.235692261
227	1.228818797
228	1.223998466
229	1.215225849
230	1.207311882
231	1.201907495
232	1.196358659
233	1.192943952
234	1.187056372
235	1.179775623
236	1.17640593
237	1.164818059
238	1.160189298
239	1.149796069
240	1.146584304
241	1.138702565
242	1.130751621
243	1.123387519
244	1.118039504
245	1.114589681
246	1.108843112
247	1.102485818
248	1.098876996
249	1.09279946
250	1.086392954
251	1.081818113
252	1.075684126
253	1.071036717
254	1.065171626
255	1.062540461
256	1.058791665
257	1.055966054
258	1.051615501
259	1.045182618
260	1.042613195
261	1.036684785
262	1.031070898
263	1.027853433
264	1.025905507
265	1.024108561
266	1.017740637
267	1.014911889
268	1.011973836
269	1.010331941
270	1.004557879
271	0.999950736
272	0.9929019964
273	0.9877074488
274	0.9824990067
275	0.9760989378
276	0.9693137164
277	0.966155975
278	0.9629613197
279	0.9568593027
280	0.9543150069
281	0.9494259772
282	0.9432723726
283	0.9407224395
284	0.9376948029
285	0.9329358844
286	0.9304458726
287	0.9252435428
288	0.923994498
289	0.9206955893
290	0.9158747118
291	0.9119663683
292	0.9073021941
293	0.9040025243
294	0.9001806625
295	0.8961714828
296	0.89306345
297	0.8905895261
298	0.8871071151
299	0.885861834
300	0.8814893812
301	0.8778712839
302	0.873889183
303	0.8703259267
304	0.8651305713
305	0.8625631897
306	0.8608782241
307	0.8578055166
308	0.8544320645
309	0.8512115398
310	0.8489826797
311	0.8451505401
312	0.8431887597
313	0.8405578872
314	0.8374390558
315	0.8344405651
316	0.8318868682
317	0.8278920966
318	0.8244714631
319	0.8200664529
320	0.8156691897
321	0.8134331306
322	0.8104893645
323	0.8075530874
324	0.8049015686
325	0.8016738231
326	0.7993773732
327	0.7975116743
328	0.7941845305
329	0.7912220649
330	0.7890832254
331	0.7872176134
332	0.7834099052
333	0.7801399526
334	0.778022552
335	0.7749581423
