iter	Passed	Remaining
0	21	21953
1	34	17042
2	46	15507
3	57	14213
4	68	13561
5	81	13510
6	88	12605
7	97	12044
8	105	11574
9	120	11939
10	131	11856
11	144	11932
12	153	11629
13	161	11374
14	171	11239
15	180	11090
16	188	10873
17	195	10650
18	203	10496
19	213	10453
20	221	10346
21	230	10242
22	239	10186
23	250	10186
24	260	10145
25	268	10067
26	277	10008
27	285	9926
28	295	9906
29	304	9845
30	315	9851
31	323	9798
32	333	9763
33	341	9690
34	358	9879
35	371	9944
36	383	9994
37	395	10014
38	407	10031
39	416	9987
40	425	9945
41	434	9910
42	442	9847
43	451	9804
44	460	9763
45	469	9731
46	476	9671
47	488	9697
48	498	9676
49	508	9652
50	518	9652
51	528	9637
52	537	9607
53	545	9563
54	556	9569
55	566	9545
56	573	9493
57	584	9491
58	592	9453
59	610	9563
60	623	9603
61	639	9667
62	651	9691
63	663	9705
64	672	9671
65	682	9661
66	692	9648
67	700	9606
68	708	9564
69	718	9548
70	727	9517
71	735	9482
72	743	9443
73	753	9433
74	763	9414
75	774	9410
76	783	9394
77	793	9383
78	801	9343
79	810	9316
80	820	9314
81	830	9292
82	838	9261
83	848	9248
84	865	9313
85	877	9328
86	891	9353
87	901	9339
88	911	9331
89	922	9327
90	930	9294
91	940	9278
92	948	9246
93	961	9267
94	971	9250
95	980	9237
96	990	9220
97	1000	9207
98	1010	9198
99	1020	9182
100	1029	9166
101	1040	9157
102	1049	9143
103	1059	9128
104	1070	9122
105	1079	9107
106	1089	9094
107	1098	9072
108	1112	9091
109	1123	9093
110	1136	9101
111	1147	9101
112	1160	9108
113	1171	9102
114	1180	9085
115	1188	9059
116	1197	9036
117	1216	9091
118	1227	9089
119	1239	9088
120	1250	9082
121	1259	9061
122	1269	9054
123	1279	9037
124	1289	9025
125	1300	9022
126	1311	9016
127	1321	9002
128	1335	9019
129	1348	9024
130	1362	9036
131	1375	9045
132	1387	9047
133	1399	9041
134	1409	9029
135	1419	9016
136	1429	9007
137	1438	8987
138	1450	8983
139	1458	8961
140	1470	8958
141	1480	8942
142	1490	8932
143	1500	8918
144	1510	8905
145	1520	8891
146	1532	8892
147	1541	8871
148	1549	8850
149	1557	8826
150	1568	8820
151	1579	8809
152	1589	8799
153	1601	8796
154	1611	8784
155	1624	8790
156	1638	8797
157	1645	8771
158	1653	8748
159	1663	8734
160	1673	8719
161	1682	8703
162	1691	8686
163	1700	8666
164	1707	8641
165	1715	8620
166	1726	8609
167	1737	8604
168	1747	8591
169	1757	8579
170	1767	8569
171	1778	8561
172	1788	8547
173	1795	8524
174	1807	8520
175	1816	8503
176	1824	8482
177	1837	8483
178	1850	8486
179	1861	8479
180	1874	8481
181	1886	8480
182	1897	8471
183	1906	8452
184	1914	8435
185	1924	8422
186	1932	8402
187	1955	8444
188	1965	8432
189	1975	8421
190	1985	8410
191	1993	8389
192	2001	8367
193	2012	8362
194	2021	8346
195	2030	8327
196	2042	8323
197	2052	8312
198	2059	8290
199	2070	8280
200	2081	8275
201	2090	8259
202	2101	8249
203	2113	8247
204	2124	8239
205	2134	8227
206	2145	8218
207	2155	8207
208	2165	8197
209	2174	8181
210	2184	8168
211	2191	8146
212	2201	8135
213	2212	8126
214	2221	8109
215	2231	8098
216	2244	8098
217	2254	8086
218	2262	8068
219	2272	8056
220	2283	8048
221	2292	8034
222	2303	8024
223	2312	8011
224	2326	8013
225	2339	8010
226	2351	8008
227	2365	8007
228	2376	7999
229	2386	7988
