iter	MultiRMSE
0	15.32499586
1	14.93920976
2	14.56606099
3	14.19436169
4	13.84548445
5	13.50454878
6	13.17841679
7	12.86293112
8	12.56154365
9	12.27286794
10	11.98062248
11	11.69483182
12	11.41952124
13	11.16003635
14	10.90456974
15	10.67024813
16	10.42376766
17	10.17767578
18	9.943554281
19	9.733804804
20	9.526228143
21	9.328864351
22	9.115140923
23	8.912839695
24	8.724313925
25	8.544214798
26	8.37426234
27	8.209095172
28	8.036826438
29	7.874999427
30	7.718700068
31	7.559828027
32	7.405906693
33	7.267232337
34	7.124984562
35	6.988548082
36	6.86276916
37	6.729257914
38	6.606758326
39	6.489914823
40	6.377449314
41	6.256945273
42	6.144526021
43	6.024942703
44	5.921683221
45	5.82132047
46	5.724754199
47	5.622973537
48	5.525866209
49	5.428639996
50	5.330959107
51	5.237819315
52	5.144494842
53	5.053869652
54	4.971423285
55	4.893771282
56	4.819558818
57	4.7386732
58	4.674913192
59	4.606607877
60	4.543445178
61	4.488704779
62	4.432372091
63	4.373892429
64	4.306716147
65	4.252534128
66	4.182758805
67	4.127742381
68	4.07244749
69	4.018771757
70	3.958863632
71	3.894375442
72	3.851740704
73	3.792642995
74	3.744514074
75	3.700620562
76	3.656073527
77	3.615755474
78	3.580425582
79	3.528188824
80	3.492743339
81	3.443478183
82	3.397090598
83	3.368226255
84	3.330180036
85	3.297418684
86	3.262384551
87	3.223939123
88	3.192438574
89	3.157980498
90	3.123754
91	3.088079453
92	3.055148189
93	3.022716476
94	2.985867816
95	2.953566055
96	2.926424884
97	2.905464709
98	2.885184143
99	2.857069014
100	2.836401982
101	2.811760096
102	2.786782592
103	2.759192176
104	2.740907498
105	2.70424914
106	2.677440131
107	2.658718468
108	2.641531421
109	2.620211465
110	2.599972866
111	2.575522117
112	2.548866125
113	2.525441877
114	2.498589246
115	2.475634614
116	2.447549103
117	2.430209191
118	2.409991534
119	2.389975187
120	2.373148352
121	2.352990348
122	2.332402012
123	2.30866529
124	2.294070798
125	2.272685867
126	2.253010363
127	2.229350706
128	2.21439115
129	2.198502306
130	2.179401787
131	2.164340454
132	2.148649931
133	2.136497494
134	2.12000999
135	2.105654113
136	2.095747068
137	2.07878505
138	2.066292672
139	2.053812737
140	2.039073492
141	2.023546979
142	2.011215106
143	1.998009607
144	1.984651225
145	1.973138013
146	1.962339856
147	1.949528748
148	1.931033989
149	1.914871739
150	1.902718117
151	1.88989635
152	1.880740712
153	1.873660034
154	1.864449017
155	1.851917619
156	1.842698539
157	1.826860459
158	1.816289273
159	1.806640561
160	1.797829967
161	1.78926154
162	1.778701506
163	1.770480863
164	1.760802263
165	1.752203565
166	1.741669858
167	1.729164193
168	1.72193354
169	1.708678417
170	1.696295899
171	1.684951751
172	1.673602564
173	1.66537868
174	1.658032919
175	1.642183413
176	1.633679788
177	1.62159218
178	1.610363665
179	1.600116753
180	1.586626284
181	1.578565152
182	1.570522102
183	1.564216836
184	1.557118524
185	1.548348193
186	1.535315666
187	1.526302816
188	1.516084071
189	1.508261602
190	1.497100278
191	1.487106675
192	1.478536607
193	1.470795722
194	1.462457226
195	1.455590632
196	1.447926929
197	1.438195215
198	1.435223765
199	1.427928128
200	1.421414371
201	1.407305519
202	1.401877981
203	1.393949749
204	1.383678954
205	1.375686541
206	1.372607885
207	1.363478721
208	1.355830778
209	1.350286898
210	1.344875327
211	1.340421822
212	1.329944155
213	1.324627826
214	1.320386445
215	1.310935318
216	1.306226818
217	1.301979905
218	1.297327825
219	1.293232845
220	1.285195405
221	1.276764188
222	1.264800083
223	1.260539151
224	1.252496546
225	1.246150981
226	1.24162385
227	1.235447775
228	1.22863283
229	1.2222203
230	1.218132704
231	1.210207854
232	1.206703734
233	1.199905143
234	1.194017261
235	1.186578789
236	1.179120835
237	1.176141934
238	1.168596377
239	1.161994323
240	1.156440342
241	1.152332415
242	1.14424356
243	1.141488853
244	1.135546167
245	1.131499172
246	1.12639799
247	1.12007312
248	1.114174238
249	1.107223751
250	1.101832731
251	1.096511268
252	1.088699631
253	1.082835207
254	1.076845306
255	1.072930908
256	1.067808079
257	1.062533085
258	1.0569977
259	1.052920324
260	1.04883101
261	1.043920691
262	1.038468714
263	1.032776386
264	1.026762682
265	1.021538004
266	1.016405747
267	1.011821184
268	1.009567718
269	1.00570585
270	1.00231881
271	0.9967474233
272	0.9915400213
273	0.9870659313
274	0.9827655959
275	0.9791860225
276	0.9745557309
277	0.9697670201
278	0.9654693673
279	0.9625694941
280	0.9570739567
281	0.952797365
282	0.9470690237
283	0.9429589602
284	0.9378138741
285	0.9341271534
286	0.9319467567
287	0.9291607201
288	0.9242824148
289	0.9197925043
290	0.9169087315
291	0.9123957248
292	0.9069757081
293	0.90267481
294	0.8985546259
295	0.893736461
296	0.888958127
297	0.8868751118
298	0.882307034
299	0.8780587322
300	0.8765906343
301	0.8718089425
302	0.8669615336
303	0.8631858398
304	0.8593363467
305	0.8553746036
306	0.8529269825
307	0.8500471457
308	0.8473428476
309	0.8429788806
310	0.8403550266
311	0.8371853513
312	0.8332714109
313	0.8302525689
314	0.8279462216
315	0.8253715115
316	0.8225245484
317	0.8192445711
318	0.8166332978
319	0.8134201035
320	0.8108795738
321	0.8062331051
322	0.8045487775
323	0.8014310805
324	0.7992514454
325	0.795399146
326	0.7918825365
327	0.790050989
328	0.786311405
329	0.7830305367
330	0.7806852714
331	0.777589648
332	0.7737986961
333	0.7704258215
334	0.7670491454
335	0.7640712626
336	0.7599847493
337	0.7582984437
338	0.7563292747
339	0.7518910242
340	0.7494371054
341	0.7471843348
342	0.7441684901
343	0.7416300299
344	0.7389802517
345	0.7368155331
346	0.7339956804
347	0.7305013516
348	0.7271829227
349	0.7243626827
350	0.7219934561
351	0.7195633241
352	0.7168348879
353	0.713774276
354	0.710311851
355	0.7084642161
356	0.7060572784
357	0.7044652468
358	0.7024886939
359	0.7007987333
360	0.6985237526
361	0.6956477928
362	0.692888128
363	0.6910377992
364	0.6887729127
365	0.6869481861
366	0.6845892742
367	0.6821239658
368	0.6804966807
369	0.6779395373
370	0.6748455414
371	0.6735201761
372	0.6714283772
373	0.6691179158
374	0.6673493469
375	0.6653085487
376	0.6627927373
377	0.6612896637
378	0.6575132163
379	0.6560995037
380	0.6541288693
381	0.651550649
382	0.6490164077
383	0.6468885569
384	0.6449388317
385	0.6433328403
386	0.6410393705
387	0.6394647753
388	0.6372657577
389	0.635029377
390	0.6326723443
391	0.6310150901
392	0.6293202984
393	0.6271050691
394	0.6255613712
395	0.6230533794
396	0.6206106403
397	0.6193061622
398	0.618118432
399	0.6161079626
400	0.6143642515
401	0.6124813232
402	0.6095419579
403	0.6082545663
404	0.6058772
405	0.6043073805
406	0.6019633605
407	0.6005358883
408	0.5988339628
409	0.5970995462
410	0.5952144514
411	0.5935796064
412	0.5920900384
413	0.5902368053
414	0.5883822597
415	0.5873218646
416	0.5852640875
417	0.5834868009
418	0.5823952314
419	0.5801565241
420	0.5790512533
421	0.5779273201
422	0.5756952739
423	0.5739451404
424	0.5723683508
425	0.5703592374
426	0.5690444992
427	0.5673562068
428	0.5660050468
429	0.564374264
430	0.5624036591
431	0.5610744468
432	0.5601367335
433	0.5580073397
434	0.5572208394
435	0.5559094927
