iter	RMSE
0	0.2747214306
1	0.2672310133
2	0.2599520215
3	0.2535267627
4	0.2473440705
5	0.2414735684
6	0.2360939759
7	0.2307336292
8	0.2257041405
9	0.2209144297
10	0.2165188558
11	0.2123531173
12	0.208439094
13	0.2046459421
14	0.2011120575
15	0.1977791067
16	0.1945356631
17	0.1915961028
18	0.1888118065
19	0.1861829472
20	0.1837269264
21	0.181507861
22	0.179390452
23	0.1774512089
24	0.1756873719
25	0.1740429136
26	0.1724919573
27	0.1708825029
28	0.169458607
29	0.1681634145
30	0.16686866
31	0.165733782
32	0.1645898645
33	0.1635961937
34	0.1626569724
35	0.1618933686
36	0.1609310135
37	0.1600858086
38	0.1592594051
39	0.1583979205
40	0.1576670134
41	0.1569675128
42	0.156326251
43	0.1557257312
44	0.1551762375
45	0.1547018978
46	0.1541921349
47	0.1537606237
48	0.1533731541
49	0.1529298516
50	0.1525531953
51	0.1521130527
52	0.1516986666
53	0.1512674304
54	0.150889768
55	0.1505798067
56	0.1502891645
57	0.1500043111
58	0.1497302881
59	0.1495231756
60	0.1492769007
61	0.1489841262
62	0.1486806605
63	0.148443882
64	0.1482631352
65	0.1479530731
66	0.1477195324
67	0.1475484396
68	0.1474054855
69	0.1471762761
70	0.1470043346
71	0.1466965354
72	0.1465847357
73	0.1463841975
74	0.1462322336
75	0.1460106062
76	0.1457930916
77	0.1456513959
78	0.1454330694
79	0.1451566323
80	0.1450423646
81	0.1448623974
82	0.1446703947
83	0.1444101266
84	0.1442043025
85	0.1440175567
86	0.1437880622
87	0.1437000986
88	0.1436145317
89	0.143447457
90	0.1433465038
91	0.1432286714
92	0.1430759843
93	0.1430247595
94	0.1428368307
95	0.1427852305
96	0.1426247054
97	0.1425664002
98	0.1424404651
99	0.1423664943
100	0.1422840928
101	0.1420614905
102	0.1419440334
103	0.1417449658
104	0.1415396376
105	0.1414938045
106	0.1413003284
107	0.1412383942
108	0.1411872478
109	0.1409851817
110	0.1409440632
111	0.14083421
112	0.1406670543
113	0.140608914
114	0.1405211809
115	0.1403244994
116	0.140243551
117	0.1401027999
118	0.1399771848
119	0.1399371806
120	0.1398161302
121	0.1397101578
122	0.1395713207
123	0.1394291249
124	0.1393823361
125	0.1393238854
126	0.1391368638
127	0.1390363223
128	0.138963082
129	0.13887801
130	0.1388180329
131	0.1387730062
132	0.1386009959
133	0.1385086062
134	0.1383357945
135	0.1382107526
136	0.138071404
137	0.1379759462
138	0.1379149236
139	0.1378361832
140	0.1377941418
141	0.137593204
142	0.1375549925
143	0.1374968361
144	0.137292987
145	0.137227236
146	0.137032273
147	0.1369983751
148	0.1369304668
149	0.1368968014
150	0.1368499374
151	0.1368158518
152	0.1367155139
153	0.1365602723
154	0.1365375983
155	0.1364917372
156	0.1364415497
157	0.1363605201
158	0.1361971509
159	0.1360324764
160	0.135937811
161	0.1358941684
162	0.1357836983
163	0.1356708973
164	0.1355695898
165	0.1353980404
166	0.1353651303
167	0.1352896899
168	0.135184428
169	0.1350136796
170	0.1349049412
171	0.1348870347
172	0.1347591269
173	0.134595772
174	0.1345798327
175	0.1345481611
176	0.1345175413
177	0.1343225511
178	0.1342712649
179	0.1342528861
180	0.1340920011
181	0.1340482419
182	0.1339866606
183	0.1338775623
184	0.1338495402
185	0.1336878993
186	0.1336570233
187	0.1335474786
188	0.1334771451
189	0.133317359
190	0.1331752978
191	0.1331552147
192	0.1329618682
193	0.1328342139
194	0.1327209286
195	0.1326097899
196	0.1324534142
197	0.13236068
198	0.1322386718
199	0.1320909257
200	0.1320006896
201	0.1319176289
202	0.131855707
203	0.1317229023
204	0.1316305483
205	0.131555187
206	0.1315273113
207	0.1314573148
208	0.1313917681
209	0.1313579772
210	0.131237745
211	0.1311062585
212	0.1310660352
213	0.1310238252
214	0.1308888316
215	0.1307861609
216	0.1306833395
217	0.1305387073
218	0.130523355
219	0.1305102167
220	0.13036873
221	0.1302590346
222	0.1301842547
223	0.1301801486
224	0.130090267
225	0.129992636
226	0.129885171
227	0.1297553582
228	0.1297149357
229	0.1297072902
230	0.1295965057
231	0.1294753125
232	0.1293847852
233	0.1293090121
234	0.129254214
235	0.1291651217
