iter	RMSE
0	151.3675058
1	150.1074961
2	148.9493168
3	147.8229874
4	146.7391209
5	145.7539503
6	144.8088705
7	144.032465
8	143.2427625
9	142.4179973
10	141.5896283
11	140.8780174
12	140.2054696
13	139.6750395
14	139.04174
15	138.4464316
16	137.9051894
17	137.3109463
18	136.8360867
19	136.4075297
20	135.8731717
21	135.466065
22	134.8739951
23	134.5936512
24	134.2883292
25	133.7217788
26	133.3723757
27	133.0819254
28	132.8156968
29	132.5606793
30	132.3219126
31	131.8678735
32	131.343597
33	130.8143961
34	130.1516927
35	129.7576056
36	129.191188
37	128.6271314
38	128.1000874
39	127.7379802
40	127.4314639
41	127.0386856
42	126.7391574
43	126.4069294
44	125.860783
45	125.5352604
46	125.2283573
47	124.9301163
48	124.73785
49	124.4297118
50	124.1724162
51	124.0844285
52	123.7180754
53	123.4736265
54	123.0835609
55	122.8641396
56	122.5704959
57	122.50072
58	122.4015615
59	122.1840067
60	122.0971014
61	121.7172806
62	121.7011436
63	121.3936842
64	121.3358129
65	121.2264748
66	120.8378178
67	120.6604346
68	120.5565156
69	120.4142987
70	120.3302876
71	120.0856243
72	119.8743257
73	119.7994587
74	119.4425292
75	119.2762168
76	119.174355
77	118.7901761
78	118.5856026
79	118.5721332
80	118.3149114
81	118.111178
82	117.9798604
83	117.9237447
84	117.6474243
85	117.3945681
86	117.274368
87	117.2082551
88	117.1610096
89	117.0298949
90	116.9978382
91	116.7560238
92	116.6001164
93	116.5998898
94	116.5172736
95	116.5051385
96	116.3811922
97	116.0952158
98	116.067528
99	115.8585031
100	115.8007655
101	115.6826201
102	115.6714633
103	115.4821199
104	115.4799081
105	115.3688005
106	115.3687984
107	115.1883895
108	115.1221864
109	114.9770702
110	114.964078
111	114.8425989
112	114.7154869
113	114.6649422
114	114.5838787
115	114.5741572
116	114.401786
117	114.2353884
118	114.2110634
119	114.0934074
120	113.986244
121	113.8819762
122	113.872773
123	113.8670946
124	113.7977356
125	113.7860292
126	113.707427
127	113.5165022
128	113.3432318
129	113.1396668
130	113.0908606
131	112.8309134
132	112.703277
133	112.7021614
134	112.6916198
135	112.6053939
136	112.5972834
137	112.5437866
138	112.4323224
139	112.4050041
140	112.3974311
141	112.3707073
142	112.3527623
143	112.2879944
144	112.2314526
145	112.0956144
146	112.0823263
147	112.0159407
148	111.9281086
149	111.9190882
150	111.7364961
151	111.6700698
152	111.6700546
153	111.6282852
154	111.4850358
155	111.4097441
156	111.4047629
157	111.4041146
158	111.3538994
159	110.9765205
160	110.8750489
161	110.7017736
162	110.5590565
163	110.38203
164	110.3371383
165	110.2294333
166	110.0588768
167	109.9635912
168	109.7496362
169	109.6635261
170	109.5927937
171	109.4463087
172	109.2072411
173	109.0588074
174	108.9022566
175	108.8721105
176	108.832866
177	108.7269246
178	108.7253054
179	108.6484606
180	108.5622453
181	108.4699232
182	108.3187179
183	108.2398777
184	108.1814609
185	108.0054845
186	107.9345943
187	107.8701686
188	107.764141
189	107.7202819
190	107.6691717
191	107.6328435
192	107.5125088
193	107.4723449
194	107.3976876
195	107.389446
196	107.2149672
197	107.160256
198	107.1033287
199	106.9531693
200	106.9104544
201	106.8280509
202	106.7005392
203	106.6135625
204	106.4154707
205	106.2952733
206	106.1782274
207	106.1734763
208	106.0727325
209	105.9671098
210	105.8712078
211	105.8141432
212	105.570895
213	105.4345995
214	105.3696143
215	105.3343879
216	105.2159038
217	104.985315
218	104.9652407
219	104.9218003
220	104.8945102
221	104.8359532
222	104.6386059
223	104.5084904
224	104.2979442
225	104.196648
226	104.1283796
227	103.9224243
228	103.852646
229	103.7755662
230	103.7251899
231	103.5884119
232	103.5332195
233	103.5122833
234	103.43657
235	103.3444374
236	103.1656956
237	103.13133
238	103.102361
239	102.9809086
240	102.9509663
241	102.9150928
242	102.8138012
243	102.7801521
244	102.7258824
245	102.7045657
246	102.6723183
247	102.5141742
248	102.3986374
249	102.3699895
250	102.2784645
251	102.1719988
252	102.0853788
253	102.0642763
254	101.9012104
255	101.8462737
256	101.8320454
257	101.8060572
258	101.7550513
259	101.7372973
260	101.600241
261	101.5317272
262	101.46493
263	101.4219904
264	101.2673542
265	101.1743104
266	101.0388739
267	100.8868488
268	100.868866
269	100.8345802
270	100.8203615
271	100.78266
272	100.7377199
273	100.7241719
274	100.6497509
275	100.6166952
276	100.5304378
277	100.412758
278	100.3697123
279	100.3592825
280	100.315834
281	100.2436206
282	100.2039682
283	100.1618893
284	100.0454495
285	100.0298874
286	99.97499059
287	99.91920948
288	99.90691379
289	99.73981712
290	99.69444878
291	99.60171453
292	99.43791054
293	99.40453451
294	99.34629344
295	99.29252486
296	99.1931321
297	99.10656917
298	99.09994247
299	99.08363149
300	99.07200084
301	98.98296575
302	98.97107499
303	98.94323588
304	98.88937755
305	98.82312697
306	98.66765386
307	98.57865474
308	98.55998394
309	98.46702497
310	98.29029545
311	98.18954624
312	98.01788935
313	97.85593195
314	97.60360312
315	97.58954923
316	97.53206174
317	97.5042686
318	97.41679753
319	97.2981944
320	97.23032304
321	97.15566034
322	97.12297195
323	97.00915009
324	96.9869213
325	96.9767696
326	96.92453254
327	96.78008589
328	96.71201618
329	96.6305538
330	96.5448135
331	96.49515611
332	96.32904888
333	96.29088651
334	96.25281275
335	96.16135106
336	96.10427348
337	95.9789385
338	95.92431728
339	95.78427409
340	95.72333164
341	95.6429389
342	95.53318731
343	95.48162878
344	95.39539101
345	95.31837021
346	95.25908074
347	95.24401773
348	95.19807745
349	95.06147977
350	94.89618126
351	94.79013585
352	94.62492067
353	94.60094543
354	94.53334768
355	94.47423553
356	94.41124432
357	94.30315849
358	94.21646136
359	94.16207224
360	93.94361898
361	93.8617545
362	93.74803605
363	93.5547172
364	93.53232788
365	93.51916773
366	93.40522609
367	93.32362367
368	93.2999456
369	93.23133596
370	93.15655057
371	93.04108737
372	92.97450026
373	92.8448073
374	92.79050288
375	92.73620463
376	92.68551722
377	92.65772361
378	92.53567539
379	92.35450621
380	92.25035235
381	92.20852183
382	91.94899121
383	91.81998487
384	91.74824266
385	91.7057134
386	91.57429662
387	91.48677301
388	91.45369834
389	91.37927675
390	91.33890575
391	91.26231918
392	91.11909091
393	90.94324364
394	90.80249088
395	90.68579804
396	90.51155641
397	90.48522742
398	90.39253715
399	90.24177259
400	90.23692688
401	90.19664201
402	90.1482917
403	90.06023014
404	90.03593136
405	89.85495546
406	89.75562628
407	89.67551338
408	89.65352397
409	89.60675521
410	89.5613601
411	89.46394567
412	89.33493393
413	89.29116452
414	89.24381262
415	89.14091696
416	89.10408482
417	89.06030737
418	88.9949151
419	88.98389899
420	88.9076746
421	88.85062766
422	88.73520032
423	88.6588808
424	88.58828899
425	88.5039915
426	88.49373589
427	88.44640584
428	88.32310859
429	88.2938923
430	88.24697153
431	88.14010738
432	88.10172108
433	88.02176007
434	87.92072391
435	87.81734674
436	87.67690011
437	87.61793354
438	87.57062533
439	87.50126863
440	87.49112761
441	87.33952789
442	87.23249956
443	87.20756665
444	87.18487444
445	87.12978046
446	87.12299804
447	87.10599007
448	87.05240179
449	87.02686961
450	86.8645754
451	86.77086707
452	86.6630809
453	86.65633008
454	86.54547003
455	86.38241088
456	86.34824661
457	86.33685247
458	86.22488861
459	86.21445236
460	86.07757746
461	86.05923691
462	85.99199257
463	85.91571945
464	85.85582407
465	85.83625291
466	85.7291416
467	85.62613985
468	85.55634493
469	85.4958576
470	85.43841225
471	85.31502833
472	85.30283458
473	85.28797063
474	85.23886965
475	85.22705851
476	85.19861861
477	85.10207662
478	85.02816233
479	84.87489183
480	84.85459569
481	84.77044651
482	84.76579527
483	84.6241026
484	84.55030111
485	84.51749727
486	84.45762878
487	84.39120706
488	84.32348418
489	84.25765159
490	84.17717784
491	84.10616916
492	83.96601981
493	83.90289405
494	83.86279656
495	83.72077986
496	83.59868796
497	83.46943975
498	83.41360382
499	83.27818155
500	83.1329087
501	83.04175464
502	82.9667007
503	82.96345143
504	82.94918107
505	82.93920682
506	82.75583208
507	82.73781817
508	82.71588546
509	82.61697167
510	82.60889929
511	82.49820725
512	82.44677526
513	82.40155076
514	82.36613958
515	82.30712987
516	82.30004359
517	82.24293165
518	82.23508161
519	82.19793201
520	82.10798342
521	82.07508086
522	82.06398868
523	81.97978438
524	81.97142731
525	81.86195169
526	81.82669162
527	81.81701194
528	81.79687356
529	81.69279912
530	81.60815301
531	81.56843251
532	81.50062633
533	81.37241534
534	81.24648856
535	81.15598377
536	81.09450909
537	81.06329695
538	81.05382802
539	80.96362096
540	80.84856276
541	80.80375251
542	80.8026149
543	80.7351559
544	80.67799252
545	80.66476698
546	80.64113327
547	80.6228168
548	80.57905029
549	80.52654025
550	80.45461408
551	80.35559552
552	80.30990945
553	80.15929468
554	80.10552277
555	80.05360164
556	80.0018324
557	79.95251945
558	79.87050862
559	79.65136018
560	79.52286713
561	79.43159328
562	79.41682706
563	79.3093091
564	79.2329136
565	79.11792698
566	79.08792722
567	79.03176095
568	78.9700465
569	78.94305745
570	78.76388315
571	78.74293588
572	78.69175387
573	78.59626058
574	78.57952299
575	78.52444194
576	78.51329794
577	78.42106967
578	78.38649563
579	78.34714634
580	78.32760535
581	78.24011599
582	78.18134844
583	78.05175394
584	78.01865388
585	77.9257698
586	77.7645231
587	77.61850937
588	77.60241311
589	77.52709713
590	77.51179634
591	77.47508496
592	77.39903645
593	77.33380959
594	77.2568567
595	77.19089313
596	77.1655013
597	77.12891511
598	77.06781731
599	76.87388963
600	76.80375456
601	76.71653815
602	76.60667296
603	76.59584652
604	76.50297051
605	76.50138749
606	76.49378566
607	76.39796892
608	76.37624624
609	76.30331561
610	76.25701298
611	76.15605141
612	76.1064577
613	76.03445422
614	76.0254691
615	75.99594213
616	75.91972328
617	75.83501822
618	75.76988395
619	75.74754814
620	75.72394845
621	75.66544798
622	75.55573509
623	75.47577834
624	75.41059512
625	75.37301252
626	75.35056569
627	75.34287177
628	75.32135495
629	75.26738724
630	75.24537369
631	75.22829958
632	75.17695768
633	75.10147516
634	75.06435356
635	75.02363422
636	74.97870113
637	74.97771744
638	74.90054847
639	74.7979469
640	74.77793978
641	74.75447656
642	74.72114144
643	74.67526315
644	74.58395512
645	74.56875488
646	74.48955234
647	74.44329758
648	74.39844186
649	74.19074079
650	74.14709255
651	74.1017452
652	73.98129969
653	73.87863988
654	73.8269932
655	73.81918698
656	73.70540536
657	73.68881214
658	73.66868447
659	73.60729108
660	73.48310598
661	73.47847008
662	73.47447962
663	73.43110859
664	73.3863503
665	73.35964845
666	73.28298923
667	73.28021379
668	73.24395429
669	73.23373486
670	73.19090218
671	73.17156449
672	73.05706827
673	72.97700114
674	72.93039426
675	72.89886101
676	72.8893208
677	72.81787778
678	72.8145523
679	72.78273247
680	72.71728595
681	72.67435525
682	72.6032492
683	72.59967334
684	72.55574423
685	72.52503467
686	72.42006101
687	72.3786464
688	72.28075548
689	72.21747546
690	72.18248185
691	72.17934922
692	72.11345407
693	72.05994397
694	72.03051015
695	72.02122233
696	72.00870038
697	71.99959719
698	71.92464357
699	71.9226042
700	71.91288853
701	71.85644784
702	71.81341202
703	71.77512461
704	71.73583221
705	71.72960135
706	71.71246977
707	71.69371128
708	71.68749469
709	71.51705458
710	71.50385154
711	71.45907363
712	71.43288287
713	71.32702603
714	71.27823754
715	71.22115563
716	71.20457698
717	71.14589098
718	71.08775539
719	71.061621
720	70.99415649
721	70.97865329
722	70.97033064
723	70.92398101
724	70.8986035
725	70.80471722
726	70.80185243
727	70.79956051
728	70.7209802
729	70.57648117
730	70.43927826
731	70.38753056
732	70.36946094
733	70.33631803
734	70.25240079
735	70.2445258
736	70.16375951
737	70.15741052
738	70.07372127
739	70.0216917
740	69.90022359
741	69.85946016
742	69.82053495
743	69.69576496
744	69.65827906
745	69.64718483
746	69.60018204
747	69.56243913
748	69.35569064
749	69.27306748
750	69.25977551
751	69.19062001
752	69.15615069
753	69.0972575
754	68.96114064
755	68.95326836
756	68.92946881
757	68.83899506
758	68.82509625
759	68.82309995
760	68.7656948
761	68.6775681
762	68.61120019
763	68.56683843
764	68.56332055
765	68.5317751
