iter	RMSE
0	141.4390967
1	138.564351
2	135.976948
3	134.0171499
4	131.5081827
5	129.1822851
6	126.8953022
7	124.4164717
8	122.0429465
9	119.5995574
10	117.7652367
11	115.5213608
12	113.6173123
13	111.5051318
14	109.7222393
15	107.915999
16	106.1535064
17	104.4819724
18	102.8710127
19	101.2404949
20	99.64581428
21	97.98550002
22	96.45129554
23	95.05665855
24	93.37617526
25	91.96861216
26	90.49040189
27	89.01049277
28	87.75258961
29	86.58847777
30	85.3614605
31	84.1173458
32	82.92282503
33	81.63308757
34	80.31266941
35	79.36539506
36	78.31466116
37	77.13532719
38	76.08520324
39	75.02153187
40	74.15688251
41	73.34087678
42	72.42817039
43	71.4643752
44	70.56282793
45	69.82465282
46	68.94769122
47	68.07719158
48	67.20665895
49	66.41894094
50	65.57248186
51	64.88074176
52	64.21171336
53	63.5658375
54	62.82653192
55	62.12558084
56	61.40981292
57	60.81551648
58	60.20645324
59	59.62663968
60	58.96303509
61	58.4006494
62	57.87846349
63	57.23145513
64	56.7145909
65	56.20485185
66	55.67074086
67	55.06679544
68	54.57508657
69	54.06776255
70	53.65638842
71	53.25260734
72	52.78328833
73	52.37217743
74	51.90521913
75	51.46894222
76	51.10475839
77	50.63745609
78	50.2078031
79	49.7439984
80	49.35223902
81	48.93160481
82	48.55486724
83	48.19116531
84	47.81661517
85	47.45993007
86	47.12216559
87	46.81999573
88	46.50345996
89	46.1883888
90	45.87620735
91	45.5158729
92	45.19386336
93	44.82553781
94	44.52243476
95	44.22308236
96	43.95793612
97	43.65451153
98	43.38572493
99	43.11669963
100	42.83179943
101	42.58092132
102	42.22276593
103	41.95454405
104	41.71401048
105	41.55627681
106	41.34226089
107	41.13722624
108	40.85872549
109	40.64849177
110	40.39064748
111	40.13057293
112	39.91094259
113	39.6806573
114	39.46613022
115	39.23711087
116	39.01068042
117	38.78742707
118	38.60236213
119	38.45275383
120	38.26452237
121	38.05967128
122	37.85209917
123	37.63135896
124	37.39900723
125	37.21195068
126	37.04622919
127	36.8311003
128	36.65705084
129	36.48704543
130	36.3599603
131	36.07829958
132	35.9548397
133	35.76558059
134	35.6350526
135	35.44197197
136	35.2682861
137	35.00639064
138	34.82894655
139	34.66199115
140	34.52077048
141	34.35567757
142	34.20722355
143	33.93559728
144	33.74907964
145	33.65956664
146	33.51993601
147	33.28916713
148	33.14939962
149	33.02518551
150	32.89395623
151	32.69824791
152	32.54473525
153	32.41145334
154	32.250101
155	32.09487652
156	31.99463877
157	31.83728554
158	31.71697008
159	31.6026189
160	31.48547837
161	31.31142533
162	31.18130709
163	31.04591774
164	30.92885302
165	30.78212807
166	30.62609668
167	30.50926375
168	30.37086079
169	30.23102738
170	30.12566586
171	29.96523551
172	29.84444661
173	29.71991789
174	29.60152758
175	29.50503156
176	29.3895766
177	29.24065836
178	29.1105828
179	29.00197428
180	28.86921369
181	28.77433193
182	28.60288876
183	28.54384004
184	28.41299064
185	28.31500147
186	28.22978135
187	28.1087807
188	27.97040562
189	27.81441552
190	27.70462601
191	27.61304934
192	27.55436391
193	27.39692936
194	27.25692262
195	27.12639618
196	27.0304554
197	26.92208788
198	26.87321914
199	26.7412053
200	26.66764095
201	26.6064211
202	26.43333114
203	26.32710821
204	26.23604886
205	26.16565566
206	26.07639612
207	25.9756071
208	25.85883851
209	25.70192074
210	25.61424468
211	25.56768577
212	25.43997292
213	25.3810303
214	25.27570531
215	25.16102476
216	25.0252469
217	24.97710108
218	24.88120166
219	24.79460905
220	24.70368728
221	24.66127191
222	24.57950956
223	24.51164826
224	24.37305842
225	24.23227912
226	24.12239959
227	23.99935211
228	23.89234939
229	23.7820023
230	23.70812363
231	23.63624192
232	23.56925008
233	23.47965997
234	23.42418571
235	23.32451764
236	23.21131317
237	23.1641961
238	23.03942668
239	22.89777485
240	22.83938108
241	22.78013785
242	22.71980376
243	22.61470898
244	22.50634825
245	22.36119961
246	22.3130619
247	22.19768394
248	22.13744104
249	21.97906434
250	21.84496864
251	21.74813871
252	21.70881301
253	21.66638617
254	21.60594851
255	21.54979614
256	21.39667093
257	21.28077333
258	21.23977003
259	21.19184609
260	21.08149374
261	20.996253
262	20.88751017
263	20.84645105
264	20.75960128
265	20.60959248
266	20.49722884
267	20.38992455
268	20.35011369
269	20.3187409
270	20.21466672
271	20.0667561
272	19.94048505
273	19.87232483
274	19.82676317
275	19.74947945
276	19.68227803
277	19.62571677
278	19.57866329
279	19.48568676
280	19.45056107
281	19.35486637
282	19.32639144
283	19.24247792
284	19.14152815
285	19.00153356
286	18.86586312
287	18.73201217
288	18.70302479
289	18.59169374
290	18.5572117
291	18.47772284
292	18.40336641
293	18.2901036
294	18.23017745
295	18.18674232
296	18.14829874
297	18.07016706
298	18.01560709
299	17.93001418
300	17.85322784
301	17.82522582
302	17.74908023
303	17.71757647
304	17.62904478
305	17.59308108
306	17.46868866
307	17.35718415
308	17.29645695
309	17.27101569
310	17.14779426
311	17.07202548
312	17.03462808
313	16.96292993
314	16.84915939
315	16.73980597
316	16.66670406
317	16.54769802
318	16.44968819
319	16.36015042
320	16.3024168
321	16.26906221
322	16.24428995
323	16.1563394
324	16.07933543
325	15.97490194
326	15.9149446
327	15.87674846
328	15.80400428
329	15.71838402
330	15.65449093
331	15.56912519
332	15.45473851
333	15.38289879
334	15.29654979
335	15.23352855
336	15.15992769
337	15.07573161
338	15.01885556
339	14.91389515
340	14.84109578
341	14.81078803
342	14.73638811
343	14.71094641
344	14.62454474
345	14.50701395
346	14.41709821
347	14.36118469
348	14.25777789
349	14.19738314
350	14.11489119
351	14.09235429
352	14.03200937
353	13.91987513
354	13.86569291
355	13.84142501
356	13.82121759
357	13.73230238
358	13.67110784
359	13.6395039
360	13.54727488
361	13.52696683
362	13.50699005
363	13.44396367
364	13.41863816
365	13.3495891
366	13.28729936
367	13.23043431
368	13.18579601
369	13.10562649
370	13.08648951
371	12.98683959
372	12.96711009
373	12.94857649
374	12.87564873
375	12.85616531
376	12.80314868
377	12.70607852
378	12.60133935
379	12.53069064
380	12.48096194
381	12.40183306
382	12.33594122
383	12.31799255
384	12.29862368
385	12.21391759
386	12.12190405
387	12.06504628
388	12.01345412
389	11.95527892
390	11.87072718
391	11.81791705
392	11.75908293
393	11.68618786
394	11.59635922
395	11.57847956
396	11.5204586
397	11.5041904
398	11.48797145
399	11.40393604
400	11.39090293
401	11.32335286
402	11.30769329
403	11.29378563
404	11.22350783
405	11.15715715
406	11.14209902
407	11.09133592
408	11.00926357
409	10.99315392
410	10.93565702
411	10.89055676
412	10.83072417
413	10.75669747
414	10.69255934
415	10.64285905
416	10.60211653
417	10.58622918
418	10.53750252
419	10.48497534
420	10.47140717
421	10.39889153
422	10.35752429
423	10.32194503
424	10.27449292
425	10.21155267
426	10.1584079
427	10.1439843
428	10.08167012
429	10.06682037
430	10.00118478
431	9.928075628
432	9.847007948
433	9.815293085
434	9.801823236
435	9.754994967
436	9.74300938
437	9.732548366
438	9.700076259
439	9.633931936
440	9.58361001
441	9.539726821
442	9.529449461
443	9.516116004
444	9.460186224
445	9.441535057
446	9.398865321
447	9.352669096
448	9.317548479
449	9.248800803
450	9.217636173
451	9.181300938
452	9.119134311
453	9.107481842
454	9.043453102
455	8.980092033
456	8.964837505
457	8.953747817
458	8.925688419
459	8.87499339
460	8.818220953
461	8.778369104
462	8.763102544
463	8.752815311
464	8.711287337
465	8.670452044
466	8.630087317
467	8.568566944
468	8.508341699
469	8.493273202
470	8.456018002
471	8.411975017
472	8.369625629
473	8.357862604
474	8.299542976
475	8.262425892
476	8.208123032
477	8.188182277
478	8.156619723
479	8.108631167
480	8.0811857
481	8.033789312
482	8.019037583
483	7.989278457
484	7.980500979
485	7.936753516
486	7.908767753
487	7.894820377
488	7.861725742
489	7.8510676
490	7.808491138
491	7.760345273
492	7.73058621
493	7.674641365
494	7.64459471
495	7.631868248
496	7.595521198
497	7.584787051
498	7.574499795
499	7.567105751
500	7.52580214
501	7.503143673
502	7.468900511
503	7.419311413
504	7.409532855
505	7.364236386
506	7.325086693
507	7.292484012
508	7.244304676
509	7.204662076
510	7.175162385
511	7.136276072
512	7.126129773
513	7.101579453
514	7.063278077
515	7.010078204
516	6.961369862
517	6.917573617
518	6.887641079
519	6.877131789
520	6.868623171
521	6.830624274
522	6.795270583
523	6.753431792
524	6.718035625
525	6.69704627
526	6.688017154
527	6.640383172
528	6.616945074
529	6.578911474
530	6.551523389
531	6.539724506
532	6.503262097
533	6.462003423
534	6.419810216
535	6.404222224
536	6.366557046
537	6.325264154
538	6.313561959
539	6.281918414
540	6.270463918
541	6.234023224
542	6.197580963
543	6.14711568
544	6.095326987
545	6.078428919
546	6.054978142
547	6.022800833
548	5.999762122
549	5.984910713
550	5.950078185
551	5.929348195
552	5.909961715
553	5.869543458
554	5.843802407
555	5.804754638
556	5.766800305
557	5.731884664
558	5.724626099
559	5.684861874
560	5.646924953
561	5.618263679
562	5.595306769
563	5.572911047
564	5.533200908
565	5.495745732
566	5.485772785
567	5.451460583
568	5.424473107
569	5.386440394
570	5.34621331
571	5.332524103
572	5.325555607
573	5.293041921
574	5.262213121
575	5.22738259
576	5.20515595
577	5.177265873
578	5.157589522
579	5.151935238
580	5.11201015
581	5.093259447
582	5.074779355
583	5.069310381
584	5.040495543
585	5.000343944
586	4.970199707
587	4.946590114
588	4.927251451
589	4.896404985
590	4.864327496
591	4.846267236
592	4.835748128
593	4.810687972
594	4.804685787
595	4.767196179
596	4.733820231
597	4.710526538
598	4.68793824
599	4.66614081
600	4.649088269
601	4.633605217
602	4.626668541
603	4.605801631
604	4.590514501
605	4.578621269
606	4.569620939
607	4.551011876
608	4.534746512
609	4.512962025
610	4.489443882
611	4.471394503
612	4.466148398
613	4.447419106
614	4.41812979
615	4.397317614
616	4.383094617
617	4.363347465
618	4.350499393
619	4.331325099
620	4.314082777
621	4.294303928
622	4.28934067
623	4.267252135
624	4.255146863
625	4.240908376
626	4.214294962
627	4.204678057
628	4.19267803
629	4.172397416
630	4.157289243
631	4.152244276
632	4.136370014
633	4.114799048
634	4.09034381
635	4.083115922
636	4.071493749
637	4.046212767
638	4.039156093
639	4.032539033
640	4.007044334
641	3.990362084
642	3.977077307
643	3.963417349
644	3.937311507
645	3.922019692
646	3.908897399
647	3.883419759
648	3.867448493
649	3.856922424
650	3.832119713
651	3.819180733
652	3.799656378
653	3.771256539
654	3.758005221
655	3.736586781
656	3.71198241
657	3.705395939
658	3.700560447
659	3.683972806
660	3.677378496
661	3.672541924
662	3.65368133
663	3.63636747
664	3.619157952
665	3.607259843
666	3.602577934
667	3.584302781
668	3.564790746
669	3.55443305
670	3.531271418
671	3.515004278
672	3.510490931
673	3.493805177
674	3.476782513
675	3.453334491
676	3.438010718
677	3.425130175
678	3.404407678
679	3.396439333
680	3.378791149
681	3.374447702
682	3.361503532
683	3.357569684
684	3.342140493
685	3.332412113
686	3.319027938
687	3.305169658
688	3.291100805
689	3.271743608
690	3.263194846
691	3.246040306
692	3.236288652
693	3.223607774
694	3.204042942
695	3.187602024
696	3.181814286
697	3.168153814
698	3.154563335
699	3.151087281
700	3.134787521
701	3.123492416
702	3.114033856
703	3.097192178
704	3.083849372
705	3.069215526
706	3.059358746
707	3.049882378
708	3.045292852
709	3.028616761
710	3.025128545
711	3.014631425
712	2.994567878
713	2.977951574
714	2.974125363
715	2.960880184
716	2.952136976
717	2.948800123
718	2.942666579
719	2.934396599
720	2.923338103
721	2.920184102
722	2.91159345
723	2.907992589
724	2.89665005
725	2.886082589
726	2.873566614
727	2.863096822
728	2.853485216
729	2.844174427
730	2.839556927
731	2.818710526
732	2.804833069
733	2.795042485
734	2.788429956
735	2.76966764
736	2.757713755
737	2.746843297
738	2.734794915
739	2.720434975
740	2.705779342
741	2.68886511
742	2.685741879
743	2.672054169
744	2.658895086
745	2.652227464
746	2.640438666
747	2.627169024
748	2.617017148
749	2.600272707
750	2.597183911
751	2.588218988
752	2.581294435
753	2.568015888
754	2.556557222
755	2.543431033
756	2.534658151
757	2.523575522
758	2.513857187
759	2.502400421
760	2.491959131
761	2.47524974
762	2.468630161
763	2.454772764
764	2.439558059
765	2.432368234
766	2.415781347
767	2.413075504
768	2.404921443
769	2.396569478
770	2.384396582
771	2.375897947
772	2.367954756
773	2.360587392
774	2.353014435
775	2.350308631
776	2.34135502
777	2.337697196
778	2.332653572
779	2.327269045
780	2.321003473
781	2.315629443
782	2.310012419
783	2.300202429
784	2.294329956
785	2.285840462
786	2.278286579
787	2.275125047
788	2.262071233
789	2.249498512
790	2.23786759
791	2.221545867
792	2.218741072
793	2.211001817
794	2.199971477
795	2.192854052
796	2.182553218
797	2.171946451
798	2.160563071
799	2.152210337
800	2.142597615
801	2.130911938
802	2.119188684
803	2.105940545
804	2.097227881
805	2.090398409
806	2.084130727
807	2.070865085
808	2.060897874
809	2.049685036
810	2.038488568
811	2.029717004
812	2.022553794
813	2.010417163
814	2.000250726
815	1.994028214
816	1.985234397
817	1.974040461
818	1.964072196
819	1.955548347
820	1.941118444
821	1.931594812
822	1.928946987
823	1.924598037
824	1.919101676
825	1.911277984
826	1.904985423
827	1.901087353
828	1.896118574
829	1.890451985
830	1.881637149
831	1.879518277
832	1.871182059
833	1.860432322
834	1.853667901
835	1.846934671
836	1.837788419
837	1.825622871
838	1.820091228
839	1.812917059
840	1.808606835
841	1.802307827
842	1.793664552
843	1.790029449
844	1.786488471
845	1.777482761
846	1.77244502
847	1.765271577
848	1.758626634
849	1.753426497
850	1.747892251
851	1.742806941
852	1.734411932
853	1.726945245
854	1.722902601
855	1.715912933
856	1.713876061
857	1.702428095
858	1.691430389
859	1.68460643
860	1.677586396
861	1.675800917
862	1.665825861
863	1.657645057
864	1.651739716
865	1.643949351
866	1.641395807
867	1.638442557
868	1.632905892
869	1.629787064
870	1.623741363
871	1.618015407
872	1.61187516
873	1.606550561
874	1.59935003
875	1.594653648
876	1.589763478
877	1.579127357
878	1.577343509
879	1.575491217
880	1.568914998
881	1.567225925
882	1.558608747
883	1.549181881
884	1.545574238
885	1.541915276
886	1.534520982
887	1.527339104
888	1.521330207
889	1.514709665
890	1.508909857
891	1.500041695
892	1.490891074
893	1.486862222
894	1.481754652
895	1.472584135
896	1.462860216
897	1.453684491
898	1.447384799
899	1.445141674
900	1.440432696
901	1.432712471
902	1.427934237
903	1.424248643
904	1.419677442
905	1.412663766
906	1.407871101
907	1.404535858
908	1.401706392
909	1.39626842
910	1.389021579
911	1.379941954
912	1.374558633
913	1.372162959
914	1.367803155
915	1.363185609
916	1.360515808
917	1.357343951
918	1.351271094
919	1.34614069
920	1.339517008
921	1.333234285
922	1.328405894
923	1.320841638
924	1.315198555
925	1.309003878
926	1.302666095
927	1.294756763
928	1.288543285
929	1.279710837
930	1.271879053
931	1.268142828
932	1.264773525
933	1.256926009
934	1.255510171
935	1.251846483
936	1.247885975
937	1.242251589
938	1.2390005
939	1.232503807
940	1.226593496
941	1.218476194
942	1.216413569
943	1.215303147
944	1.213299788
945	1.209178616
946	1.202488489
947	1.195396936
948	1.188018987
949	1.183888606
950	1.176758273
951	1.175509594
952	1.174215314
953	1.170674185
954	1.169353935
955	1.165625731
956	1.160249289
957	1.156152163
958	1.150971391
959	1.149875833
960	1.142484498
961	1.137929971
962	1.133773071
963	1.128045405
964	1.124006494
965	1.120761148
966	1.1176415
967	1.109390854
968	1.108274163
969	1.102442183
970	1.097886729
971	1.094864048
972	1.088982616
973	1.086518531
974	1.08465489
975	1.080400043
976	1.07514515
977	1.07076617
978	1.06681433
979	1.061711432
980	1.056989903
981	1.049828287
982	1.044197815
983	1.038772688
984	1.031853422
985	1.027922311
986	1.022619776
987	1.017675395
988	1.011585512
989	1.005561309
990	1.002234351
991	0.9963165773
992	0.9901602394
993	0.9857933238
994	0.9830744209
995	0.9793836122
996	0.9770179818
997	0.9738825669
998	0.9728171736
999	0.9706193596
